Crop,Duration (ini),Duration (dev),Duration (mid),Duration (late),Duration (total),Kc (ini),Kc (dev),Kc (mid),Kc (late)
Jowar,,,,,,,,,
Rice,30,30,60,30,150,1.05,1.125,1.2,0.9
Bajra,,,,,,,,,
Maize,20,35,40,30,125,0,0.6,1.2,0.6
Other Cereals ,20,35,40,30,125,0,0.6,1.2,0.6
Tur,,,,,,,,,
Mung,,,,,,,,,
Udid,,,,,,,,,
Other Pulses,20,30,30,10,90,0.4,0.775,1.15,0.55
Groundnut,25,35,45,25,130,0,0.575,1.15,0.6
Sunflower,25,35,45,25,130,0,0.575,1.15,0.6
Soyabean,,,,,,,,,
Sesamum,20,30,40,20,110,0,0.55,1.1,0.25
Nigerseed,,,,,,,,,
Other Oil Seed crops,20,30,40,20,110,0.35,0.75,1.15,0.35
Sugarcane,30,50,180,60,320,0.4,0.825,1.25,0.75
Cotton,30,50,60,55,195,0,0.6,1.2,0.6
Wheat,40,60,60,40,200,0.4,0.775,1.15,0.32
Other Cereals,20,35,40,30,125,0,0.6,1.2,0.6
Gram,20,30,30,20,100,0,0.525,1.05,0.4
Safflower,20,35,45,25,125,0,0.55,1.1,0.25
Linseed,,,,,,,,,
